IP1.IP2.IP3.0/24,Interno ULL,Tipo,Coordenadas
10.205.0.0/16,Interno ULL,Cableado,28.122463 -16.734031
10.155.0.0/16,Interno ULL,Wifi,28.122463 -16.734031
10.246.0.0/16,Interno ULL,Wifi,28.122463 -16.734031
10.106.0.0/16,Interno ULL,Cableado,28.684152 -17.764573
10.206.0.0/16,Interno ULL,Cableado,28.684152 -17.764573
10.156.0.0/16,Interno ULL,Wifi,28.684152 -17.764573
10.245.0.0/16,Interno ULL,Wifi,28.684152 -17.764573
10.108.0.0/16,Interno ULL,Cableado,28.481374 -16.319417
10.208.0.0/16,Interno ULL,Cableado,28.481374 -16.319417
10.158.0.0/16,Interno ULL,Wifi,28.481374 -16.319417
10.244.0.0/16,Interno ULL,Wifi,28.481374 -16.319417
10.109.0.0/16,Interno ULL,Cableado,28.483014 -16.321317
10.209.0.0/16,Interno ULL,Cableado,28.483014 -16.321317
10.160.0.0/16,Interno ULL,Wifi,28.483014 -16.321317
10.243.0.0/16,Interno ULL,Wifi,28.483014 -16.321317
10.110.0.0/16,Interno ULL,Cableado,28.478813 -16.322683
10.210.0.0/16,Interno ULL,Cableado,28.478813 -16.322683
10.160.0.0/16,Interno ULL,Wifi,28.478813 -16.322683
10.242.0.0/16,Interno ULL,Wifi,28.478813 -16.322683
10.111.0.0/16,Interno ULL,Cableado,28.479553 -16.322653
10.211.0.0/16,Interno ULL,Cableado,28.479553 -16.322653
10.161.0.0/16,Interno ULL,Wifi,28.479553 -16.322653
10.241.0.0/16,Interno ULL,Wifi,28.479553 -16.322653
10.112.0.0/16,Interno ULL,Cableado,28.480247 -16.320029
10.212.0.0/16,Interno ULL,Cableado,28.480247 -16.320029
10.162.0.0/16,Interno ULL,Wifi,28.480247 -16.320029
10.252.0.0/16,Interno ULL,Wifi,28.480247 -16.320029
10.113.0.0/16,Interno ULL,Cableado,28.482284 -16.320928
10.213.0.0/16,Interno ULL,Cableado,28.482284 -16.320928
